HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,Max<2.5,Max>2.5,Avg<2.5,Avg>2.5,Dia_da_Semana,Day,Month,Day_of_week,Date
98.0,99.0,3,1,0,2.5,3.5,2.7,2.55,3.5,2.55,2.7,3.74,2.78,2.61,3.55,2.67,1.66,2.2,2.28,1.77,2.18,1.7,6,4,9,6,
4.0,99.0,0,3,0,4.2,3.8,1.8,4.2,3.75,1.82,4.5,4.05,1.86,4.3,3.91,1.81,1.66,2.2,2.28,1.72,2.21,1.68,6,18,9,6,
99.0,18.0,3,1,0,2.05,3.75,3.3,2.05,3.7,3.4,2.15,3.85,3.65,2.08,3.7,3.48,1.72,2.1,2.28,1.77,2.16,1.71,5,1,10,5,
99.0,12.0,3,2,0,2.5,3.6,2.62,2.5,3.7,2.55,2.69,3.96,2.7,2.58,3.72,2.62,1.57,2.37,2.49,1.67,2.38,1.6,6,9,10,6,
0.0,99.0,0,1,0,6.0,4.2,1.55,5.5,4.4,1.55,6.3,4.6,1.6,5.83,4.41,1.56,1.61,2.3,2.41,1.67,2.31,1.62,6,16,10,6,
17.0,99.0,1,1,0,6.0,4.0,1.57,5.25,4.2,1.58,6.3,4.5,1.6,5.78,4.27,1.58,1.66,2.2,2.29,1.75,2.22,1.67,6,23,10,6,
99.0,16.0,5,0,0,1.2,7.0,12.0,1.2,6.75,14.5,1.24,7.5,17.0,1.2,6.96,14.82,1.5,2.62,2.68,1.53,2.57,1.5,6,30,10,6,
6.0,99.0,0,1,0,2.55,3.4,2.7,2.55,3.4,2.7,2.72,3.54,2.85,2.64,3.42,2.7,1.93,1.97,2.02,1.97,1.94,1.89,6,6,11,6,
20.0,99.0,0,2,0,6.0,4.2,1.55,5.75,4.2,1.55,6.5,4.44,1.59,6.15,4.26,1.55,1.8,2.0,2.13,1.84,2.05,1.78,5,12,11,5,
99.0,19.0,3,1,0,1.5,4.33,6.5,1.5,4.33,6.25,1.55,4.7,7.1,1.51,4.39,6.52,1.73,2.1,2.16,1.85,2.07,1.77,0,26,12,0,
5.0,99.0,2,4,0,3.4,3.5,2.1,3.4,3.5,2.1,3.6,3.72,2.17,3.46,3.56,2.12,1.89,2.04,2.08,1.91,2.0,1.84,5,31,12,5,
99.0,15.0,0,0,0,1.8,3.8,4.33,1.8,3.6,4.4,1.85,3.99,4.75,1.82,3.83,4.39,1.8,2.0,2.12,1.88,2.04,1.8,1,3,1,1,
18.0,99.0,0,2,0,3.1,3.6,2.2,3.3,3.6,2.1,3.38,3.85,2.24,3.24,3.63,2.18,1.8,2.0,2.11,1.85,2.04,1.79,6,15,1,6,
99.0,98.0,3,2,0,1.8,3.8,4.2,1.87,3.7,4.0,1.91,4.1,4.35,1.86,3.86,4.08,1.73,2.1,2.26,1.74,2.17,1.7,6,22,1,6,
8.0,99.0,1,0,0,8.5,4.5,1.4,7.5,4.75,1.41,8.93,5.0,1.45,8.22,4.75,1.41,1.87,2.03,2.06,1.9,1.99,1.84,5,4,2,5,
99.0,4.0,1,1,0,1.44,4.75,7.0,1.43,4.5,7.5,1.49,4.9,8.0,1.45,4.72,7.52,1.73,2.1,2.21,1.78,2.14,1.73,5,11,2,5,
99.0,13.0,1,3,0,2.9,3.5,2.35,2.85,3.4,2.4,3.04,3.65,2.51,2.93,3.51,2.42,1.88,2.02,2.05,1.94,1.99,1.85,2,15,2,2,
2.0,99.0,2,4,0,4.5,3.6,1.5,4.5,3.6,1.78,4.6,3.86,1.87,4.43,3.71,1.84,2.02,1.88,1.91,2.06,1.86,1.98,5,18,2,5,
11.0,99.0,0,1,0,4.75,4.0,1.7,4.6,4.0,1.7,5.0,4.3,1.74,4.73,4.09,1.71,1.67,2.2,2.3,1.71,2.23,1.67,5,25,2,5,
99.0,8.0,4,0,0,1.36,4.75,10.0,1.34,5.0,9.25,1.4,5.4,10.0,1.36,5.04,9.33,1.85,2.05,2.08,1.88,2.02,1.82,2,1,3,2,
99.0,3.0,3,2,0,1.22,7.0,12.0,1.21,6.5,14.0,1.24,7.3,15.0,1.22,6.82,13.83,1.57,2.38,2.52,1.64,2.41,1.58,5,4,3,5,
