Date,Hour,Latitude,Longitude,Temperature,Precipitation,WeatherCode
05/05/2024,20,39.2238,9.1217,17.4,0.0,0.0
13/05/2024,20,40.3515,18.174,18.9,0.0,3.0
18/05/2024,20,40.3515,18.174,20.2,0.0,3.0
26/05/2024,20,40.8518,14.2681,20.0,0.0,0.0
19/08/2024,20,40.3515,18.174,24.1,0.0,0.0
24/08/2024,20,45.4642,9.19,27.6,0.0,0.0
31/08/2024,20,40.3515,18.174,26.8,0.0,0.0
15/09/2024,20,45.0703,7.6869,21.6,0.0,0.0
21/09/2024,20,40.3515,18.174,20.0,0.0,0.0
27/09/2024,20,45.4642,9.19,16.9,0.0,0.0
05/10/2024,20,46.0604,13.2346,10.6,0.0,3.0
20/10/2024,20,40.3515,18.174,19.1,0.0,3.0
26/10/2024,20,40.8518,14.2681,19.8,0.0,3.0
29/10/2024,20,40.3515,18.174,18.2,0.0,1.0
02/11/2024,20,44.4949,11.3426,11.1,0.0,0.0
08/11/2024,20,40.3515,18.174,12.8,0.0,3.0
25/11/2024,20,45.4408,12.3155,6.4,0.0,3.0
01/12/2024,20,40.3515,18.174,13.2,0.0,1.0
07/12/2024,20,41.9028,12.4964,9.9,0.0,3.0
15/12/2024,20,40.3515,18.174,10.5,0.0,1.0
21/12/2024,20,40.3515,18.174,8.0,0.0,0.0
30/12/2024,20,45.8081,9.0852,4.8,0.0,0.0
05/01/2025,20,40.3515,18.174,9.3,0.0,0.0
11/01/2025,20,43.7179,10.9478,6.9,0.0,3.0
19/01/2025,20,39.2238,9.1217,14.1,0.0,1.0
26/01/2025,20,40.3515,18.174,13.3,0.0,3.0
31/01/2025,20,44.8015,10.3279,6.6,0.0,3.0
09/02/2025,20,40.3515,18.174,9.3,0.0,0.0
16/02/2025,20,45.5827,9.2747,4.2,0.0,2.0
21/02/2025,20,40.3515,18.174,6.5,0.0,0.0
28/02/2025,20,43.7696,11.2558,10.0,0.1,51.0
08/03/2025,20,40.3515,18.174,12.3,0.0,3.0
14/03/2025,20,44.4056,8.9463,10.7,0.0,3.0
29/03/2025,20,40.3515,18.174,11.9,0.2,51.0
06/04/2025,20,40.3515,18.174,9.9,0.4,51.0
12/04/2025,20,45.0703,7.6869,17.1,0.0,3.0
19/04/2025,20,40.3515,18.174,15.0,0.0,0.0
27/04/2025,20,45.695,9.6773,16.2,0.1,51.0
03/05/2025,20,40.3515,18.174,21.7,0.0,3.0
